id,state,abbr,latitude,longitude,college,income
1,Alabama,AL,32.84057112,-86.63186076,20.4,38.8
2,Alaska,AK,64.84507996,-147.722059,24.1,55.6
4,Arizona,AZ,34.86597028,-111.7638113,23.9,40.8
5,Arkansas,AR,34.74865012,-92.27449074,18.2,32.9
6,California,CA,37.63864012,-120.9999995,27.3,44.6
8,Colorado,CO,38.84384076,-106.1336109,33.4,53
9,Connecticut,CT,41.56266102,-72.64984095,32.9,56.5
10,Delaware,DE,39.00883067,-75.57774117,26.1,48.4
11,District of Columbia,DC,38.89037139,-77.03196113,49.1,53.7
12,Florida,FL,28.93204038,-81.92896054,24.1,40.1
13,Georgia,GA,32.83968109,-83.62758035,24.7,41.5
15,Hawaii,HI,21.30485044,-157.8577494,27.3,49.1
16,Idaho,ID,43.68263001,-114.36373,22.4,41.9
17,Illinois,IL,40.48501028,-88.99771018,28.4,48.1
18,Indiana,IN,39.76691045,-86.14996019,20.8,41.3
19,Iowa,IA,42.46940091,-93.81649056,23.4,47.7
20,Kansas,KS,38.3477403,-98.20078123,27,45.9
21,Kentucky,KY,37.64597027,-84.77497105,19.3,37.4
22,Louisiana,LA,31.31266064,-92.44568007,19.8,40.8
23,Maine,ME,45.25422889,-68.98503134,25.6,42.9
24,Maryland,MD,39.29058096,-76.60926011,33.3,58
25,Massachusetts,MA,42.27687047,-72.08269067,35.5,54
26,Michigan,MI,44.66131954,-84.71439027,23.4,44.7
27,Minnesota,MN,46.35564874,-94.7942005,29.6,53.6
28,Mississippi,MS,32.7455101,-89.53803082,18.1,30.5
29,Missouri,MO,38.63579078,-92.56630005,23.8,44.5
30,Montana,MT,47.06652897,-109.4244206,26.2,41.4
31,Nebraska,NE,41.64104099,-99.36572062,25.8,46.6
32,Nevada,NV,39.49324039,-117.0718406,19.9,44
33,New Hampshire,NH,43.65595011,-71.50036092,31,55.8
34,New Jersey,NJ,40.13057005,-74.27369129,32.5,55.9
35,New Mexico,NM,34.52088095,-106.240581,22.8,34.6
36,New York,NY,42.82700103,-75.54397043,30.4,45.9
37,North Carolina,NC,35.46622098,-79.15925046,24.3,40
38,North Dakota,ND,47.47531978,-100.118421,25,51.8
39,Ohio,OH,40.06021014,-82.40426006,22.8,44
40,Oklahoma,OK,35.47203136,-97.52107021,21,40.2
41,Oregon,OR,44.56744942,-120.1550313,26.8,43.4
42,Pennsylvania,PA,40.79373015,-77.86070029,25.1,47.1
44,Rhode Island,RI,41.70828019,-71.52247031,27.9,49.1
45,South Carolina,SC,33.9988213,-81.04537121,22.5,37.7
46,South Dakota,SD,44.35313005,-100.3735306,23.8,45.2
47,Tennessee,TN,35.68094058,-85.77449091,21.5,37.2
48,Texas,TX,31.82724041,-99.42677021,23.5,42.4
49,Utah,UT,39.36070017,-111.5871306,25.8,51.5
50,Vermont,VT,43.62538124,-72.51764079,31.5,48.2
51,Virginia,VA,37.54268067,-78.45789046,31.7,52.1
53,Washington,WA,47.52227863,-120.4700108,28.7,51.9
54,West Virginia,WV,38.6655102,-80.71264013,16.6,35.3
55,Wisconsin,WI,44.39319117,-89.81637074,24.3,46.6
56,Wyoming,WY,43.23554134,-108.1098304,22.8,50.7
72,Puerto Rico,PR,18.220833,-66.590149,29.4,7.9
